trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-290.5919047304941,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.37328992739648,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.1275413799554,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.70888837514013,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.28985268397864,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,4,-92.72572386003145,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.66516244358486,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.48689893115515,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,5,-79.09732551270189,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,2,-58.27850107287972,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.9943636019193,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,13,-0.6307527814894964,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-24.65326012962822,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.11367965406217,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.55697141163992,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,8,-176.7036326388377,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 3}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.7523186382209,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.027223439818265,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.23191636448216,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.669861621064,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-167.40198552440543,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-267.0910907164602,"{0: 9, 1: 3, 2: 8, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.92640868149569,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.67738207635033,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.51152065117297,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.00843872127663,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.15668775854813,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.13719357198975,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-112.24237946064973,"{0: 16, 1: 5, 2: 7, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-269.4360111764274,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 6}",0
